ProjectID,ProjectType,ProjectLocation,ContractorCategory,ConstructionPhase,ProjectBudgetMillion,EstimatedDurationDays,WorkersAssigned,EquipmentUtilization,MaterialDelayDays,SupplierIssues,WeatherDisruptionDays,SafetyIncidents,InspectionFailures,ChangeRequests,CostOverrunPercent,ScheduleVarianceDays,QualityScore,SiteProductivityScore,ProjectDelayed
PRJ_122981,Infrastructure,Urban,Large,Foundation,14.41,338,604,66.53,4,1,8,1,1,3,21.09,-4.61,78.58,46.8,Yes
PRJ_108797,Industrial,Urban,Medium,Structural,140.54,369,370,76.47,7,1,5,0,3,4,6.05,-50.0,82.14,77.51,Yes
PRJ_124934,Industrial,Rural,Small,Structural,192.77,833,527,60.84,6,0,4,1,5,3,0.0,-7.27,84.04,86.1,Yes
PRJ_113288,Commercial,Rural,Medium,Inspection,59.19,373,268,71.73,7,0,5,0,5,2,6.91,34.77,91.24,79.47,Yes
PRJ_111371,Industrial,Rural,Medium,Structural,105.62,1036,221,40.16,6,5,6,1,2,2,0.0,24.04,89.66,72.95,Yes
PRJ_117172,Industrial,Rural,Medium,Structural,147.6,882,773,48.58,5,2,4,0,4,1,0.84,9.32,89.81,71.14,Yes
PRJ_125151,commercial,Urban,Large,Inspection,170.31,1473,100,47.45,9,3,6,2,0,7,12.61,43.72,,76.5,Yes
PRJ_119082,Residential,Rural,Small,Planning,80.11,994,274,77.88,9,2,3,0,0,6,10.6,-22.17,86.19,68.86,No
PRJ_117590,Residential,Semi-Urban,Small,Foundation,62.39,659,728,79.09,9,1,7,1,1,3,27.38,3.5,100.0,65.81,No
PRJ_109716,Industrial,Semi-Urban,Medium,Inspection,35.52,423,227,47.71,7,1,6,1,1,3,11.57,-6.59,89.17,63.93,No
PRJ_119641,Infrastructure,Urban,Small,Inspection,18.97,1198,777,80.28,7,1,11,1,1,5,11.52,29.48,77.35,70.05,Yes
PRJ_114427,Commercial,Semi-Urban,Small,Inspection,122.77,1379,749,,5,2,4,0,1,6,0.0,39.17,,81.42,No
PRJ_114217,Bridge Construction,Semi-Urban,Large,Foundation,169.87,691,521,65.02,13,2,12,1,0,2,8.33,0.41,93.23,87.2,Yes
PRJ_108677,Bridge Construction,Rural,Medium,Finishing,77.03,871,108,,9,2,4,1,1,4,0.0,12.93,65.63,61.67,Yes
PRJ_117893,Commercial,Semi-Urban,Medium,Inspection,,1366,568,56.36,6,1,6,0,1,1,7.12,27.22,98.31,72.96,Yes
PRJ_114534,Industrial,Semi-Urban,Medium,Structural,191.77,323,710,49.03,4,2,3,0,1,3,12.92,-2.53,84.2,100.0,No
PRJ_129042,Road Construction,Urban,Large,Foundation,79.15,1260,130,20.05,3,1,2,1,0,1,2.75,21.86,73.5,73.73,No
PRJ_126005,Infrastructure,Semi-Urban,Large,Finishing,,663,461,60.69,6,3,5,3,1,3,0.0,-30.72,82.36,83.19,Yes
PRJ_122307,Infrastructure,Urban,Small,Foundation,74.55,193,379,63.01,7,3,5,2,1,2,0.0,23.58,72.49,100.0,No
PRJ_121446,Commercial,Semi-Urban,Medium,Planning,34.64,171,696,84.99,6,3,6,0,1,5,7.94,30.37,88.21,69.14,Yes
PRJ_125537,Residential,Urban,Medium,Structural,148.05,309,595,67.28,3,1,3,0,2,3,15.15,4.26,71.66,78.27,Yes
PRJ_123164,Residential,Semi-Urban,Medium,Foundation,44.96,1433,622,79.76,3,2,7,1,2,2,10.23,43.9,69.01,84.86,Yes
PRJ_122891,Industrial,Urban,Small,Planning,,690,666,55.37,9,3,5,2,1,1,24.09,-5.5,82.2,63.16,Yes
PRJ_108785,Residential,Semi-Urban,Medium,Finishing,63.79,284,295,71.92,7,0,7,0,0,1,0.0,31.27,,62.07,Yes
PRJ_122199,Infrastructure,Urban,Small,Foundation,121.99,685,620,68.91,7,4,4,1,1,5,8.34,18.29,,80.2,Yes
PRJ_101087,Commercial,Urban,Small,Structural,191.67,756,674,64.63,5,4,1,1,4,1,0.0,39.87,90.74,67.06,No
PRJ_117201,Bridge Construction,Semi-Urban,Medium,Foundation,93.26,445,289,62.36,8,1,4,1,0,6,1.53,10.28,78.6,92.15,Yes
PRJ_103965,Commercial,urban,Medium,Structural,163.82,508,459,55.54,2,2,5,0,1,1,13.14,23.73,85.07,86.52,No
PRJ_102717,Infrastructure,Semi-Urban,Small,Finishing,40.21,224,715,56.23,5,1,5,0,3,5,8.23,-7.95,89.47,72.4,No
PRJ_127485,Industrial,Rural,Medium,Foundation,202.46,412,397,,2,3,9,1,1,1,0.0,-6.01,73.35,85.37,Yes
PRJ_113892,Bridge Construction,Urban,Large,Structural,210.58,514,713,64.04,11,3,5,1,0,2,6.59,7.69,94.47,95.83,No
PRJ_112879,Bridge Construction,Rural,Small,Inspection,185.3,307,230,69.41,4,4,6,0,1,1,7.24,-30.15,83.1,77.15,Yes
PRJ_120953,Commercial,Semi-Urban,Large,Foundation,111.22,1463,93,62.99,7,4,6,1,1,5,1.05,33.4,86.29,94.75,No
PRJ_115247,Residential,Semi-Urban,Small,Foundation,62.37,1253,214,41.71,3,3,5,0,2,3,16.73,-10.32,83.54,91.68,No
PRJ_127938,Industrial,Rural,Medium,Finishing,5.0,1318,515,64.7,4,0,1,0,3,0,9.05,57.43,90.25,78.23,No
PRJ_130995,Industrial,Urban,Medium,Foundation,82.7,1477,447,72.45,4,4,6,0,3,4,2.63,27.19,85.76,76.91,Yes
PRJ_115225,Industrial,Semi-Urban,Medium,Structural,75.3,472,366,84.95,3,2,4,1,2,5,9.26,11.34,70.42,76.04,Yes
PRJ_102281,Commercial,Semi-Urban,Medium,Inspection,84.56,923,440,68.5,5,2,8,2,1,0,0.0,0.84,90.2,78.69,Yes
PRJ_120943,Commercial,Urban,Small,Inspection,92.29,1420,324,66.23,3,2,3,0,1,4,0.0,3.21,93.55,85.63,Yes
PRJ_120220,Industrial,Urban,Large,Planning,138.44,1385,224,74.44,6,2,7,2,2,2,29.17,19.84,81.79,72.56,Yes
PRJ_124777,Residential,Urban,Large,Structural,158.24,1205,239,46.4,4,1,5,0,0,4,5.65,68.58,73.7,70.78,No
PRJ_113422,Industrial,Semi-Urban,Medium,Structural,128.76,1423,224,66.37,8,1,4,1,0,1,13.73,39.46,70.57,75.8,Yes
PRJ_123362,Industrial,Urban,Small,Foundation,81.46,760,107,79.76,11,2,5,1,1,2,7.12,-16.35,71.14,,Yes
PRJ_110572,Road Construction,Rural,Small,Planning,5.0,352,116,15.66,5,1,7,1,2,3,0.06,12.29,79.72,80.02,Yes
PRJ_116694,Industrial,Urban,Large,Foundation,85.36,969,541,73.34,6,3,5,0,2,7,1.96,7.52,74.46,77.15,Yes
PRJ_105263,Commercial,Urban,Medium,Structural,134.37,1033,57,65.88,7,1,9,2,3,1,0.0,-24.34,95.76,62.32,Yes
PRJ_123766,Industrial,Semi-Urban,Small,Structural,117.33,423,81,52.6,12,2,4,1,3,2,6.89,-6.52,76.3,63.49,Yes
PRJ_120157,Residential,Urban,Large,Planning,148.98,363,340,75.57,6,2,5,0,1,0,6.32,34.63,60.29,69.89,Yes
PRJ_110516,Residential,Urban,Large,Foundation,124.53,840,547,88.73,8,2,4,0,1,3,0.6,-11.06,100.0,77.58,Yes
PRJ_128683,Residential,Urban,Medium,Foundation,104.16,489,299,52.5,5,3,2,2,4,2,17.04,-14.49,80.18,87.93,Yes
PRJ_102291,Infrastructure,Urban,Medium,Finishing,15.23,1188,300,96.58,8,2,3,2,0,4,1.39,25.31,66.22,66.86,Yes
PRJ_118460,Residential,Urban,Medium,Planning,114.87,1086,103,93.08,3,2,4,1,1,1,13.37,45.69,56.26,85.34,Yes
PRJ_111080,Road Construction,Semi-Urban,Medium,Structural,128.25,321,365,92.19,8,2,5,2,2,1,0.0,2.1,80.15,83.62,Yes
PRJ_107710,Bridge Construction,Semi-Urban,Large,Planning,142.96,922,53,22.69,6,4,8,3,0,2,19.37,38.4,94.48,82.3,Yes
PRJ_129181,Bridge Construction,Semi-Urban,Medium,Planning,118.7,1134,436,45.37,6,2,2,2,1,0,2.03,31.33,73.91,69.28,No
PRJ_127818,Industrial,Semi-Urban,Medium,Structural,185.67,807,355,84.86,2,1,2,1,1,5,0.0,-14.46,77.61,91.57,No
PRJ_129752,Infrastructure,Rural,Large,Planning,13.2,996,527,52.04,4,2,4,0,2,5,1.27,2.29,85.94,51.73,Yes
PRJ_130862,Bridge Construction,Urban,Large,Structural,5.0,828,490,61.76,4,2,6,0,1,2,24.79,45.26,68.1,88.32,No
PRJ_110927,Bridge Construction,Urban,Medium,Foundation,112.15,271,316,53.47,4,1,6,0,1,2,9.24,16.8,89.58,43.55,Yes
PRJ_124325,Residential,Urban,Large,Structural,168.77,936,721,71.85,2,4,4,1,2,4,10.64,13.38,70.64,76.26,Yes
PRJ_128536,Residential,Urban,Medium,Foundation,93.11,513,655,92.17,5,1,9,1,2,3,7.23,9.58,66.65,58.86,Yes
PRJ_130059,Bridge Construction,Urban,Medium,Structural,135.96,1310,614,71.04,3,3,6,1,1,1,0.0,2.46,82.35,84.96,Yes
PRJ_125201,Residential,Urban,Medium,Finishing,56.38,1443,243,33.57,6,2,7,1,1,3,19.07,22.07,84.05,60.8,Yes
PRJ_100816,Bridge Construction,Urban,Small,Finishing,166.24,1257,178,91.05,4,0,6,1,3,4,14.43,38.66,88.37,74.68,Yes
PRJ_129178,Commercial,Urban,Medium,Planning,152.74,900,401,78.78,7,2,8,2,0,1,1.38,6.39,82.89,69.31,Yes
PRJ_117399,Residential,Urban,Large,Planning,64.72,242,166,,7,0,3,2,4,3,0.0,-3.6,78.88,68.09,No
PRJ_109852,Infrastructure,Urban,Medium,Finishing,132.3,1416,163,37.63,2,1,4,0,1,4,13.21,13.19,90.64,63.07,Yes
PRJ_119155,Infrastructure,Rural,Small,Inspection,145.74,1481,416,100.0,8,1,7,0,1,3,16.96,3.15,100.0,71.15,Yes
PRJ_100114,Commercial,Urban,Medium,Inspection,50.94,655,692,58.25,7,2,5,3,1,4,0.0,11.88,53.17,67.83,Yes
PRJ_128464,Infrastructure,Urban,Large,Structural,246.47,116,76,52.57,5,3,3,0,2,2,3.52,23.27,82.1,,No
PRJ_104857,Commercial,Semi-Urban,Medium,Inspection,201.55,1031,655,66.99,6,1,6,1,0,3,8.34,-12.28,63.25,70.23,Yes
PRJ_125372,Road Construction,Urban,Medium,Structural,212.02,368,604,67.37,10,1,12,0,1,4,0.0,49.2,83.09,61.05,Yes
PRJ_125769,Road Construction,Urban,Small,Structural,105.98,917,421,74.06,3,0,6,0,0,1,0.0,-7.19,98.87,56.43,No
PRJ_108002,Infrastructure,Urban,Medium,Foundation,158.35,69,778,70.67,10,3,4,1,1,2,0.0,26.56,89.85,63.07,Yes
PRJ_114790,Residential,Rural,Large,Inspection,101.73,196,640,52.48,7,1,3,0,3,7,13.28,18.22,70.42,86.57,Yes
PRJ_118674,Residential,Semi-Urban,Large,Foundation,44.81,768,787,55.11,4,0,5,0,1,1,0.95,57.12,86.29,45.0,Yes
PRJ_119758,Bridge Construction,Rural,Medium,Structural,127.37,511,99,61.58,8,1,6,0,3,2,5.71,44.87,82.1,94.87,No
PRJ_126310,Bridge Construction,Semi-Urban,Small,Planning,218.5,809,86,67.1,4,4,9,0,1,4,34.34,-0.81,69.75,73.42,Yes
PRJ_122530,Commercial,Semi-Urban,Medium,Inspection,5.0,700,260,13.28,6,1,6,0,1,4,5.11,-2.87,83.92,78.42,Yes
PRJ_127404,Commercial,Urban,Large,Planning,130.9,1295,779,80.96,5,0,4,0,3,4,15.68,11.35,86.52,82.11,Yes
PRJ_101940,Commercial,Urban,Medium,Inspection,129.42,1156,343,43.88,8,2,4,1,1,6,26.64,4.05,67.7,81.1,No
PRJ_110843,Industrial,Urban,Large,Inspection,,1405,102,85.03,11,3,5,2,0,6,2.85,8.42,77.69,81.04,Yes
PRJ_125079,Commercial,Rural,Medium,Finishing,193.02,1216,242,100.0,2,3,3,0,3,3,2.54,7.88,85.43,66.83,No
PRJ_129737,Road Construction,Urban,Medium,Foundation,148.52,994,564,47.54,9,2,4,2,1,2,11.0,10.84,83.0,80.93,Yes
PRJ_111529,Bridge Construction,Rural,Medium,Finishing,128.49,129,448,49.63,6,2,6,0,2,3,0.0,46.87,84.01,63.29,No
PRJ_120941,Industrial,Urban,Small,Planning,177.69,219,377,92.19,5,3,5,2,0,2,12.61,-16.97,100.0,64.49,Yes
PRJ_129881,Bridge Construction,Semi-Urban,Medium,Foundation,135.85,1494,237,95.89,11,1,4,0,1,3,0.0,7.71,64.66,69.19,Yes
PRJ_118089,Bridge Construction,Urban,Large,Finishing,108.4,533,167,72.23,4,2,2,0,3,4,0.0,29.18,100.0,62.94,Yes
PRJ_120083,Residential,Urban,Large,Structural,121.14,654,358,72.36,8,3,4,4,2,4,16.1,7.2,78.19,71.64,Yes
PRJ_115192,Infrastructure,Semi-Urban,Medium,Foundation,54.91,1054,216,54.99,7,2,7,2,0,7,6.1,17.19,84.77,62.01,No
PRJ_109608,Industrial,Semi-Urban,Large,Finishing,125.77,909,89,100.0,5,2,5,1,1,1,7.83,-0.22,91.7,68.94,Yes
PRJ_114377,Bridge Construction,Urban,Small,Finishing,119.53,356,295,60.55,5,2,3,2,3,4,9.74,11.56,96.09,71.86,Yes
PRJ_126635,Bridge Construction,Semi-Urban,Large,Inspection,141.4,519,125,88.04,7,3,6,0,1,8,24.82,3.57,75.05,78.12,Yes
PRJ_116034,Commercial,Urban,Medium,Finishing,174.15,1102,178,52.3,6,2,3,2,6,0,0.0,2.37,99.74,92.33,Yes
PRJ_123553,Bridge Construction,Semi-Urban,Medium,Foundation,153.57,870,176,73.29,5,6,4,1,1,4,6.22,16.69,82.53,68.8,Yes
PRJ_108072,Infrastructure,Semi-Urban,Large,Structural,78.68,1016,26,84.61,5,3,5,0,4,1,13.87,23.47,77.41,71.96,Yes
PRJ_112611,Bridge Construction,Urban,Medium,Finishing,202.57,836,708,44.04,5,3,5,0,2,4,3.12,10.2,88.56,66.36,Yes
PRJ_111205,Commercial,Semi-Urban,Large,Inspection,15.89,199,254,88.12,7,2,6,0,3,0,0.0,4.74,78.63,66.53,Yes
PRJ_111712,Bridge Construction,Urban,Large,Structural,56.42,119,708,62.1,7,3,4,1,0,3,7.81,22.5,78.31,96.52,Yes
PRJ_123035,Infrastructure,Urban,Medium,Planning,82.44,1333,195,59.85,7,0,4,3,0,3,0.42,-1.22,72.45,83.15,No
PRJ_129601,Infrastructure,urban,Large,Inspection,62.88,817,336,100.0,8,1,6,0,3,4,5.5,-3.74,79.38,72.08,Yes
PRJ_121411,Commercial,Urban,Medium,Structural,5.0,247,659,85.88,5,3,4,2,2,4,0.0,33.88,99.44,90.63,Yes
PRJ_107139,Residential,Urban,Large,Finishing,168.15,966,532,91.68,6,1,6,0,3,3,5.2,37.41,77.71,91.78,No
PRJ_124337,Bridge Construction,Urban,Medium,Foundation,,310,324,,5,0,3,2,0,4,2.62,-22.7,,58.11,Yes
PRJ_112696,Commercial,Semi-Urban,Small,Finishing,79.49,278,498,80.32,9,3,5,0,1,1,8.56,-5.99,81.73,79.32,Yes
PRJ_105892,Infrastructure,Rural,Small,Structural,90.9,481,141,44.58,5,1,5,2,1,5,5.95,42.84,83.31,52.08,Yes
PRJ_120927,Residential,Urban,Small,Planning,168.44,1006,43,67.92,5,1,6,0,2,3,6.89,26.82,80.57,62.52,No
PRJ_120281,Industrial,Rural,Medium,Foundation,68.47,405,723,60.41,6,1,8,1,2,3,0.0,17.95,83.6,79.02,Yes
PRJ_115105,Infrastructure,Rural,Medium,Finishing,62.58,889,689,71.0,8,0,4,0,0,4,0.0,-29.47,82.84,72.23,No
PRJ_113003,Industrial,Urban,Large,Foundation,18.19,1238,459,51.72,4,2,6,0,3,3,12.9,-4.52,96.39,60.36,Yes
PRJ_120622,Infrastructure,Urban,Medium,Structural,64.68,1192,503,64.6,3,4,6,2,1,5,1.04,17.24,73.15,91.22,Yes
PRJ_108956,Infrastructure,Urban,Medium,Structural,193.89,78,460,59.15,1,1,1,3,2,4,9.31,19.81,78.16,68.12,No
PRJ_117465,Bridge Construction,Semi-Urban,Small,Finishing,5.0,414,527,65.05,5,2,4,0,0,3,0.0,19.49,,,No
PRJ_102683,Infrastructure,Urban,Medium,Foundation,147.77,1098,335,96.3,5,0,3,1,1,3,11.42,18.99,91.0,67.7,Yes
PRJ_101349,Infrastructure,Semi-Urban,Large,Inspection,124.36,587,230,85.75,8,0,2,1,1,2,20.71,16.79,78.78,64.02,No
PRJ_120702,Residential,Rural,Medium,Planning,122.64,1107,591,63.06,9,2,2,1,0,4,17.1,-3.79,,71.63,No
PRJ_130469,commercial,Urban,Medium,Planning,,1250,707,72.29,3,1,7,0,2,3,6.17,35.98,76.9,63.02,Yes
PRJ_106683,Road Construction,Urban,Small,Structural,131.1,438,521,41.02,2,2,3,1,1,0,2.32,-8.89,,74.94,No
PRJ_131263,Infrastructure,Semi-Urban,Medium,Foundation,92.35,1181,526,70.83,4,2,5,2,0,1,32.91,-22.48,56.59,68.8,Yes
PRJ_109702,Road Construction,Semi-Urban,Medium,Structural,69.15,398,713,66.42,4,0,5,0,0,3,10.2,12.23,100.0,79.24,Yes
PRJ_123919,Road Construction,Urban,Medium,Finishing,176.33,281,590,93.7,10,1,1,1,2,3,2.36,59.37,,74.97,No
PRJ_122936,Road Construction,Urban,Large,Finishing,144.48,988,760,44.36,4,3,3,0,0,4,0.0,15.89,85.2,77.5,No
PRJ_113024,Road Construction,Rural,Small,Planning,89.36,414,327,100.0,3,1,7,1,2,4,12.35,35.39,83.04,77.27,Yes
PRJ_123310,Road Construction,Rural,Small,Inspection,39.06,1038,559,83.29,4,0,4,1,2,2,3.68,-0.95,74.0,58.36,No
PRJ_119111,Residential,Urban,Medium,Foundation,145.6,1175,162,79.96,7,0,1,1,1,6,31.3,17.52,76.6,60.47,No
PRJ_128689,Bridge Construction,Urban,Large,Inspection,69.1,1235,82,62.97,7,1,6,1,1,5,20.34,-18.14,72.46,80.51,No
PRJ_103292,Residential,Rural,Large,Foundation,146.67,898,771,79.24,8,0,3,1,1,6,13.82,-26.62,92.53,54.63,Yes
PRJ_109564,Road Construction,Rural,Small,Foundation,154.54,1367,274,87.63,10,1,4,0,2,2,8.98,40.25,79.24,83.31,Yes
PRJ_113028,Commercial,Urban,Small,Planning,162.97,1023,721,39.01,7,2,4,0,0,5,15.27,31.95,96.11,74.31,Yes
PRJ_124044,Road Construction,Semi-Urban,Medium,Structural,144.29,270,196,72.79,8,0,4,1,3,6,19.25,-7.32,89.42,89.3,Yes
PRJ_112444,Residential,Semi-Urban,Large,Finishing,87.94,893,414,59.7,12,1,2,1,4,0,4.76,33.16,62.81,98.51,Yes
PRJ_105142,Industrial,Semi-Urban,Medium,Finishing,112.14,1466,149,62.73,4,2,10,0,2,1,20.64,35.12,75.14,78.29,Yes
PRJ_124387,Bridge Construction,Urban,Medium,Finishing,157.49,744,336,54.82,5,0,6,1,1,4,21.48,15.14,96.62,68.01,No
PRJ_112941,Residential,Semi-Urban,Small,Finishing,159.0,285,55,66.31,8,3,8,1,0,1,21.14,19.27,81.59,72.08,Yes
PRJ_120446,Commercial,Rural,Large,Planning,37.41,933,21,74.66,4,3,5,1,3,6,0.0,39.66,69.86,52.1,Yes
PRJ_130563,Residential,Urban,Small,Inspection,101.31,1360,271,75.97,8,3,11,1,1,1,0.49,28.86,80.78,94.18,No
PRJ_103528,Infrastructure,Urban,Small,Foundation,197.76,1398,727,46.1,5,1,3,3,1,3,2.64,-8.41,82.78,70.44,Yes
PRJ_101041,Industrial,Urban,Large,Inspection,53.36,769,157,35.62,5,3,3,1,0,3,12.38,6.43,89.4,67.43,Yes
PRJ_114146,Infrastructure,Semi-Urban,Medium,Inspection,144.04,594,121,71.0,6,0,6,3,1,2,0.0,4.31,82.63,83.86,No
PRJ_126645,Residential,Urban,Medium,Structural,144.61,203,37,47.09,4,1,10,0,1,0,0.0,28.72,83.09,76.19,No
PRJ_123913,Industrial,Semi-Urban,Small,Foundation,124.35,906,669,81.43,4,0,6,1,0,2,5.79,-0.5,86.37,,Yes
PRJ_102628,Industrial,Urban,Medium,Finishing,51.15,463,699,86.87,6,1,5,0,3,1,4.51,4.81,86.62,76.78,Yes
PRJ_130475,Bridge Construction,Urban,Medium,Finishing,226.37,1296,701,78.77,6,5,4,0,3,4,0.0,-6.88,80.09,78.38,Yes
PRJ_108979,Industrial,Urban,Medium,Structural,71.35,599,233,54.08,4,3,4,0,1,5,4.51,8.58,88.79,,No
PRJ_113032,Commercial,Rural,Medium,Finishing,,650,47,49.15,5,2,5,2,2,8,15.46,-1.36,81.31,62.64,Yes
PRJ_123644,Commercial,Semi-Urban,Medium,Structural,201.06,440,262,56.78,4,2,6,1,4,3,7.41,41.9,88.54,,Yes
PRJ_114639,Road Construction,Urban,Small,Inspection,96.8,705,292,59.78,13,2,4,0,2,2,0.33,20.19,80.06,48.93,No
PRJ_116473,Industrial,Urban,Small,Inspection,71.73,1053,743,59.12,10,3,3,1,2,4,0.85,26.87,,84.22,Yes
PRJ_107651,Commercial,Urban,Small,Foundation,158.38,1022,471,49.28,7,2,7,1,0,5,0.43,1.92,90.58,68.09,Yes
PRJ_121202,Commercial,Urban,Small,Inspection,121.2,422,603,64.52,9,3,4,0,1,3,6.79,16.07,99.03,70.62,Yes
PRJ_103445,Commercial,Urban,Medium,Inspection,94.52,143,117,59.3,3,3,11,0,1,2,0.0,-33.21,69.51,91.52,Yes
PRJ_114003,Residential,Urban,Medium,Foundation,171.42,259,433,68.67,7,4,6,0,1,4,16.27,0.17,73.54,77.12,Yes
PRJ_102554,Commercial,Semi-Urban,Medium,Inspection,170.18,82,507,85.82,8,1,6,3,1,2,4.66,-7.17,73.28,84.45,No
PRJ_101422,Bridge Construction,Semi-Urban,Medium,Foundation,150.38,1496,474,59.1,10,3,6,2,3,3,4.74,0.48,95.65,69.05,Yes
PRJ_104723,Infrastructure,Semi-Urban,Large,Structural,22.13,1179,587,92.78,3,3,3,0,0,2,0.0,0.93,78.16,77.75,Yes
PRJ_117009,Road Construction,Urban,Medium,Foundation,169.88,1171,516,55.04,7,2,3,0,1,4,11.71,20.31,85.62,68.14,No
PRJ_130925,Commercial,Urban,Medium,Planning,128.5,1239,636,57.61,6,2,2,0,0,0,5.35,2.44,74.27,73.54,No
PRJ_125111,Infrastructure,Semi-Urban,Medium,Planning,175.65,500,683,38.38,5,0,2,1,2,4,8.25,-15.91,95.67,90.75,No
PRJ_127499,Industrial,Rural,Small,Finishing,15.93,1340,553,87.25,7,3,7,0,0,2,0.0,17.33,80.36,99.22,No
PRJ_121550,Infrastructure,Rural,Small,Finishing,1062.8,1272,215,49.05,7,1,4,1,0,4,7.72,28.01,74.51,62.48,Yes
PRJ_112860,Residential,Urban,Large,Planning,145.39,233,107,46.41,3,1,8,1,3,8,0.0,24.07,69.98,,No
PRJ_119574,Bridge Construction,Urban,Medium,Inspection,147.61,201,185,52.19,6,3,3,2,3,3,0.0,-18.17,91.41,76.06,No
PRJ_117405,Residential,Urban,Medium,Finishing,153.94,283,45,76.35,6,4,5,1,1,3,14.88,24.91,58.45,94.64,Yes
PRJ_108349,Industrial,Semi-Urban,Small,Inspection,191.95,305,758,82.12,3,3,3,1,1,2,12.28,36.67,92.2,100.0,Yes
PRJ_121417,commercial,Semi-Urban,Medium,Inspection,174.81,324,41,53.91,6,4,5,1,3,6,0.0,3.82,62.61,73.64,Yes
PRJ_103447,Residential,Semi-Urban,Small,Planning,35.66,580,486,61.33,11,4,1,1,2,6,11.98,9.63,68.53,70.35,Yes
PRJ_110795,Bridge Construction,Urban,Medium,Planning,85.85,511,101,64.41,2,2,5,0,0,7,7.34,29.45,77.14,75.16,Yes
PRJ_127325,commercial,Semi-Urban,Medium,Planning,239.15,550,458,84.65,6,4,8,0,2,2,12.64,34.22,83.32,66.9,No
PRJ_106863,Road Construction,Urban,Small,Inspection,87.9,497,137,92.14,5,3,6,0,1,1,8.9,-21.63,75.57,73.05,No
PRJ_113640,Road Construction,Urban,Medium,Structural,5.0,423,738,71.02,8,2,5,1,4,1,0.0,-15.96,91.34,70.29,Yes
PRJ_127047,Industrial,Urban,Small,Planning,28.68,1355,303,76.6,4,1,6,2,2,4,0.0,30.13,78.36,100.0,Yes
PRJ_119763,Bridge Construction,Urban,Small,Inspection,193.74,1268,295,81.64,7,0,7,1,1,6,16.97,30.0,70.94,73.42,Yes
PRJ_104612,Road Construction,Rural,Medium,Structural,188.03,289,773,73.72,3,4,6,1,1,4,9.63,-2.58,68.15,49.9,Yes
PRJ_106969,Infrastructure,Urban,Small,Structural,192.27,362,544,57.57,9,1,5,0,0,1,0.0,13.09,77.54,97.44,No
PRJ_110921,Bridge Construction,Rural,Small,Structural,144.34,232,333,68.5,5,4,7,0,4,7,7.8,-6.28,94.14,74.04,Yes
PRJ_125577,Bridge Construction,Rural,Medium,Planning,55.01,1444,373,48.43,2,2,5,0,1,5,21.01,-1.3,84.13,73.34,No
PRJ_103766,Road Construction,Semi-Urban,Medium,Structural,198.31,1055,731,91.45,2,1,12,1,1,3,1.93,13.51,86.74,69.3,No
